review,rating,date,bank,source
"Db sup app is A platform or an application that can grasp more satisfactions through fastest mode of operation which means for budget planning, to use QR code(scan, pay, go) chat with staff, acc to acc other bank ft, merchant payment, and easly. I addition to i satisfied and i invite everyone to use those platform!!.",5,2025-04-21,Dashen Bank,Google Play
the chat banking and unique and only app that alow money request!!,5,2025-04-21,Dashen Bank,Google Play
Better and inclusive app!,5,2025-04-21,Dashen Bank,Google Play
Amazing Application,5,2025-04-21,Dashen Bank,Google Play
It keep my time to pay my bills and I generate my satment easily,5,2025-04-21,Dashen Bank,Google Play
"It's an amazing app that is up-to-date with the times, wow wow",5,2025-04-21,Dashen Bank,Google Play
A game-changing Ethiopian innovation—where shopping meets opportunity. The marketplace feature connects buyers and sellers like never before.,5,2025-04-21,Dashen Bank,Google Play
"Dashen Super App isn’t just an app — it’s an experience. Effortless, powerful, and built for the future",5,2025-04-21,Dashen Bank,Google Play
"This Is An Amazing App with Uniqe Quality,Easy And Fast Mobile Banking App.",5,2025-04-21,Dashen Bank,Google Play
"Dashen SuperApp is a lifesaver! Banking, shopping, and bills in one super easy app. The new e-commerce feature is awesome and supports local merchants. Fast, secure, and proudly Ethiopian.Download it now—you won’t regret it!",5,2025-04-21,Dashen Bank,Google Play
"Dashen SuperApp blends finance, shopping, and daily services effortlessly. The new e-commerce feature is smooth and supports local merchants—proud to back an Ethiopian-made solution!",5,2025-04-21,Dashen Bank,Google Play
"A solid step forward by Dashen Bank. The SuperApp combines essential banking features with lifestyle services, making everything accessible in one place. The interface is smooth, and transactions are quick and reliable. It’s clear a lot of thought went into the design and functionality. Great job!",5,2025-04-21,Dashen Bank,Google Play
Dashen bank super app is the crucial and convenient app in Ethiopia. there is no other app to compare with Dashen bank super app,5,2025-04-21,Dashen Bank,Google Play
"All-in-one finance & e-commerce super app! Pay, save, shop seamlessly. Fast, secure. #BankAndShop",5,2025-04-21,Dashen Bank,Google Play
it's a hestorical app. in the bank industry.,5,2025-04-21,Dashen Bank,Google Play
"A game changer in Ethiopian digital banking fast, secure, and packed with services. Everything you need, all in one powerful app. A true leap toward financial convenience and innovation!",4,2025-04-21,Dashen Bank,Google Play
"easy &,simple to use",5,2025-04-21,Dashen Bank,Google Play
"Banking, but make it smart. Local solutions, all in one place. Smooth, fast, and actually saving time. Feels like the future. Love it!",5,2025-04-21,Dashen Bank,Google Play
"All in one, that is it 👌",5,2025-04-21,Dashen Bank,Google Play
", Dashen Bank Supper App is multipurpose, convenient, very attractive and Make life easier",5,2025-04-21,Dashen Bank,Google Play
very easy and flexible app.,5,2025-04-21,Dashen Bank,Google Play
"I choose Dashen Bank Super Up since, it is easy to use & it has attractive features !",5,2025-04-21,Dashen Bank,Google Play
dashen super app is simple faster and reliable.,5,2025-04-21,Dashen Bank,Google Play
"Dashen Bank Super App is a game-changer! The user-friendly design, wide range of services, and smooth performance make it incredibly convenient for everyday banking. It’s fast, secure, and truly reflects the bank’s commitment to digital excellence. Highly recommended!",5,2025-04-21,Dashen Bank,Google Play
"The app keeps getting better with every update! Smooth performance, great UI, and top-notch security. Thank you for making banking so convenient!""",5,2025-04-21,Dashen Bank,Google Play
this app is the most simply to use and secure safe i love it to use for any bank transaction,5,2025-04-21,Dashen Bank,Google Play
"After i download the app recently had a smooth expriance, its user friendly, fast, and everything works as expected. keep up the good work.",5,2025-04-21,Dashen Bank,Google Play
An app with High performance and advanced features!,5,2025-04-21,Dashen Bank,Google Play
"It is a very user friendly, attractive user interface, full of useful features. I really encourage everyone to give it a try.",5,2025-04-21,Dashen Bank,Google Play
"Good actually , but it have to WORK when developer option is on 🙏",5,2025-04-21,Dashen Bank,Google Play
"All-in-one convenience, From managing accounts to paying bills and shopping online and the chat banking is game changer, this app does it all seamlessly.",5,2025-04-21,Dashen Bank,Google Play
I appreciate that Dashen Bank takes lifestyle services into account.,5,2025-04-21,Dashen Bank,Google Play
keep it up!,5,2025-04-21,Dashen Bank,Google Play
amazing app really i loved it .that's why we say dashen bank is one stap ahead. It's the best mobile application that should be on every phone.,5,2025-04-21,Dashen Bank,Google Play
very comfortable app keep it,5,2025-04-21,Dashen Bank,Google Play
it has clear detail information about the application so it helps customer how to use the app. and it is very easy to use and also app is secure.,5,2025-04-21,Dashen Bank,Google Play
"I have been using the Dashen Supper app mobile banking app , and overall, I appreciate its features.However,I’ve noticed that when I turn on the developer options on my device, the app stops functioning properly. It would be great if you could look into this issue, as I often need to access developer settings for other applications . Thank you for your attention to this matter!",5,2025-04-21,Dashen Bank,Google Play
easiness to use with fast response time,5,2025-04-21,Dashen Bank,Google Play
"The new mobile banking application is a major upgrade! It’s incredibly user-friendly, with a clean and modern design that makes navigation simple and intuitive. I really appreciate how fast it loads and how smooth the overall experience is. All essential services like balance checks, transfers, and bill payments are eas y to find and use. The added security features give me peace of mind, and the app runs reliably without crashes or glitches. It’s clear a lot of thought went into the user experi",5,2025-04-21,Dashen Bank,Google Play
"As an Internal Customer, Dashen Bank SuperApp has greatly simplified my online banking experience. It's easy to use, allowing me to quickly check balances, transfer money and pay Bills. The app's advanced security features are highly secure, ensuring my data is well protected. The Three click, Chat Banking and IPS features have also given me a smarter experience. In deed Dashen Bank is always steping ahead!",5,2025-04-21,Dashen Bank,Google Play
"A truly impressive app — user-friendly and a game-changer in Ethiopian banking. The Dashen Super App stands out as one of the most innovative and convenient digital banking solutions in Ethiopia’s financial history. Smooth navigation, seamless features, and a wide range of services all in one place. Well done!",5,2025-04-21,Dashen Bank,Google Play
dashen bank super up has very fast and convenience and also it has contain more things on one app .I am very interesting to use dashen bank super up,5,2025-04-21,Dashen Bank,Google Play
"The Dashen Bank Super App has truly elevated my mobile banking experience. It's fast, user-friendly, and packed with all the essential features. The interface is clean and intuitive, making navigation easy even for first-time users. I also appreciate the added security features that give me peace of mind while banking on the go. Dashen Bank has done an amazing job with this app—it’s reliable, efficient, and always improving. Highly recommended for anyone looking for seamless digital banking!",5,2025-04-21,Dashen Bank,Google Play
A fantastic product!! keep the good work.,5,2025-04-21,Dashen Bank,Google Play
"I am very impressed with the Dashen super app. It is user-friendly and operates efficiently. The budget and chatbot features are impressive, and all items can be purchased with just three clicks.",5,2025-04-21,Dashen Bank,Google Play
"The Dashen Super App offers a quick and user-friendly experience, bringing together a variety of services, like budgeting, payments, airtime recharges, and more, all in one convenient platform. Its sleek design and intuitive navigation ensure effortless transactions. It's evident that Dashen Bank has carefully crafted the app to make everyday financial activities easier. A great choice for anyone aiming to streamline their digital routines!",5,2025-04-21,Dashen Bank,Google Play
Dashen supper App is the most useful app for our customers,5,2025-04-21,Dashen Bank,Google Play
it is the most amazing mobile app,5,2025-04-21,Dashen Bank,Google Play
A Good and fast supper app thanks for dashen bank,5,2025-04-21,Dashen Bank,Google Play
"Dear Users of the Dashen Bank Super App,I have been using the Dashen Bank Super App for a while now, and I must say—it’s truly a game-changer! The app is incredibly fast and reliable; I’ve never encountered any delays with my transactions. One feature I absolutely love is Chat Banking. It makes everyday tasks like checking my balance or transferring money as simple as sending a quick message. Also, the budgeting tool has been a huge help in tracking my spending and giving me a clearer",5,2025-04-21,Dashen Bank,Google Play
Too best,1,2025-04-21,Dashen Bank,Google Play
"Dashen Bank Super Up,use the app and makes your easy,fast,convinent.",5,2025-04-21,Dashen Bank,Google Play
To join digital world use supper app and make your life easy,5,2025-04-21,Dashen Bank,Google Play
best mobile banking application,5,2025-04-21,Dashen Bank,Google Play
"This banking superapp is incredibly well designed. The design and appearance of the app and the overall experience I have when using the app is fantastic. The app is packed with features from banking to e-commerce all in one place.It even has a budget setting option which is super useful for managing my money. Everything runs smoothly and I love how convenient it has made my daily life. Huge Kudos to Dashen Bank. You are truly living up to the motto ''Always one step ahead."" Keep it up!",5,2025-04-21,Dashen Bank,Google Play
I was really amazed by the idea of an e-commerce service on a banking app. This is what it means to be one step ahead. Please include all kinds of products in there as soon as possible.,5,2025-04-21,Dashen Bank,Google Play
this is what we expect to get service Dashen Bank always like his slogan,5,2025-04-21,Dashen Bank,Google Play
"Dashen SupApp is the most contemporary application, offering a great experience by enabling users to perform multiple tasks through a single platform—such as chatting with friends, transferring money, paying bills, and more. It is the first app of its kind in the Ethiopian banking industry, making it a remarkable opportunity for entrepreneurs working in app-based sales and software marketing. Good job, Dashen Bank!",5,2025-04-21,Dashen Bank,Google Play
Dashen Super App gives me an amazing convenience and makes life easy.,5,2025-04-21,Dashen Bank,Google Play
excellent mobile banking app,5,2025-04-21,Dashen Bank,Google Play
Wow! like his name Super App...,5,2025-04-21,Dashen Bank,Google Play
Dashen supper app is the most special. ይምቾቱ ይለያያል!!!!,5,2025-04-21,Dashen Bank,Google Play
convenient and fast,5,2025-04-21,Dashen Bank,Google Play
Best- in-class app.,5,2025-04-21,Dashen Bank,Google Play
I really like this amazing application and Dashen Supper app that has made my life easier.,5,2025-04-21,Dashen Bank,Google Play
Superb,5,2025-04-21,Dashen Bank,Google Play
"amazing features, faster and easy to use",5,2025-04-21,Dashen Bank,Google Play
"The Dashen Super App offers a modern, user-friendly experience that leverages the latest technological advancements to deliver a seamless e-commerce platform",5,2025-04-21,Dashen Bank,Google Play
Best App!,5,2025-04-21,Dashen Bank,Google Play
I love it. one of the best mobile banking app in the banking industry,5,2025-04-21,Dashen Bank,Google Play
I love this app,5,2025-04-21,Dashen Bank,Google Play
no working for me hulum information asgebiche continue or accept yemilew button ayeseram my phone is Samsung A51,1,2025-04-21,Dashen Bank,Google Play
good,5,2025-04-20,Dashen Bank,Google Play
waw no idea the best app.,5,2025-04-19,Dashen Bank,Google Play
fast best app,5,2025-04-19,Dashen Bank,Google Play
Nice App,5,2025-04-18,Dashen Bank,Google Play
nice app ever,5,2025-04-17,Dashen Bank,Google Play
good,5,2025-04-17,Dashen Bank,Google Play
very disappointing app. Closes frequently and unstable in function,2,2025-04-17,Dashen Bank,Google Play
"Feature-rich? Absolutely. But the speed? Painfully slow. Seriously, is it communicating with a server on Mars or something?",5,2025-04-16,Dashen Bank,Google Play
nic app,5,2025-04-16,Dashen Bank,Google Play
Nice,5,2025-04-16,Dashen Bank,Google Play
"The Dashen Super App delivers a remarkably fast, highly secure, and exceptionally user-friendly experience, establishing it as a leading application in its category.keep it up and stay ahead Dashen Bank.",5,2025-04-14,Dashen Bank,Google Play
So far so good! their in person customer service is amazing 👏,5,2025-04-14,Dashen Bank,Google Play
The app is very backward and doesn't always work. If it works three hours out of 24 hours it's great!😥,1,2025-04-14,Dashen Bank,Google Play
ምርጫዬ ነው,5,2025-04-13,Dashen Bank,Google Play
It's bad for the connection and too many days are it that not working,1,2025-04-12,Dashen Bank,Google Play
it's samart,5,2025-04-10,Dashen Bank,Google Play
"The app is not working properly, I have been using it.",1,2025-04-10,Dashen Bank,Google Play
it is very good app,5,2025-04-10,Dashen Bank,Google Play
"I had a disappointing experience with Dashen Bank's Super Up service. The app is very slow and takes forever to load during transactions, which is incredibly frustrating. Additionally, it doesn't generate receipts for any transactions, making it difficult to keep track of my expenses. I also reached out to customer support, but the response time was longer than expected. Overall, I was hoping for a better experience, but I find the service lacking and in need of improvement.",2,2025-04-09,Dashen Bank,Google Play
slow cumbersome,3,2025-04-08,Dashen Bank,Google Play
Is really 💀,2,2025-04-08,Dashen Bank,Google Play
It's slow to send OTP. it's not reliable. It crushed many times. It needs improvement in many ways,1,2025-04-07,Dashen Bank,Google Play
"This is the worst mobile banking experience I’ve ever had. It doesn’t work when you need it, and it randomly updates itself without warning. You can’t make transactions whenever you want. It’s a nightmare for anyone who relies on this as their main banking option, especially those with a lot of money in their account. I’m lucky I’m not one of them, but still, it’s infuriating not being able to access your money when you need it.""l",1,2025-04-07,Dashen Bank,Google Play
"I have experienced on using the app of Banks in Ethiopia, this Dashen sup is like old version of the applications for using. I gave 3 star for it's very low speed while login and processing",3,2025-04-07,Dashen Bank,Google Play
proud by dashen bank,5,2025-04-06,Dashen Bank,Google Play
best,5,2025-04-06,Dashen Bank,Google Play
best of best,5,2025-04-05,Dashen Bank,Google Play
nice,5,2025-04-04,Dashen Bank,Google Play
This app is not working unless you turn off developer mode on your phone. So it takes your rights to just use it.,2,2025-04-04,Dashen Bank,Google Play
real super up,5,2025-04-04,Dashen Bank,Google Play
it's very disappointing fix it as soon as possible not expected from dashin bank fix it,1,2025-04-04,Dashen Bank,Google Play
why dashen bank workers hidden my ATM Card 🏧?it's a big problem to me,5,2025-04-04,Dashen Bank,Google Play
good,5,2025-04-04,Dashen Bank,Google Play
tanku,5,2025-04-04,Dashen Bank,Google Play
very nice,5,2025-04-04,Dashen Bank,Google Play
perfect,5,2025-04-03,Dashen Bank,Google Play
goood,5,2025-04-02,Dashen Bank,Google Play
why does it ask me for both pin and opt even the opt is touch let alone both,2,2025-04-02,Dashen Bank,Google Play
it is best app easy to use,5,2025-04-01,Dashen Bank,Google Play
It is very easy to use and powerful application.,3,2025-04-01,Dashen Bank,Google Play
this apps have a good feature but but some features like developer mode turn off irritate user,3,2025-04-01,Dashen Bank,Google Play
"This is not only a mobile banking app, it is beyond that. We will access our account easily, we are able to get many information easily here. i.e. exchage rate. We are able to chat with others, we are able to budget, we are able to transfer to other bank and within Dashen. we are able to access many accounts in a single app, we are able to pay bills in QR scan, we are able to make payments and order delivery items here in a single app. #Always one step ahead.",5,2025-03-31,Dashen Bank,Google Play
wallahi very fantastic Bank,5,2025-03-31,Dashen Bank,Google Play
"Waw, It's amazing app. thank you Dashen Bank.",5,2025-03-31,Dashen Bank,Google Play
ok,5,2025-03-30,Dashen Bank,Google Play
nice app,5,2025-03-29,Dashen Bank,Google Play
"I’ve been using the Dashen Bank Super App for a while now, and it’s been a game-changer. The app is super fast and reliable—I’ve never had an issue with transactions being delayed. One of my favorite features is the chat banking, which makes it so easy to do things like check my balance or transfer money just by typing a quick message. The budgeting tool is also really useful. It helps me keep track of my spending and gives me a clear picture of where",5,2025-03-28,Dashen Bank,Google Play
good,5,2025-03-28,Dashen Bank,Google Play
nice application,4,2025-03-27,Dashen Bank,Google Play
Very good app that like it too. B/c it is very fast and easy to use.,5,2025-03-26,Dashen Bank,Google Play
best experiences,5,2025-03-26,Dashen Bank,Google Play
too slow to use.,1,2025-03-26,Dashen Bank,Google Play
ጥሩ ነው,5,2025-03-25,Dashen Bank,Google Play
the worst app in the market only good ui,1,2025-03-22,Dashen Bank,Google Play
nic,5,2025-03-22,Dashen Bank,Google Play
በጣም ቅልል ያለ አፕ በርቱልን ለአጠቃቀም ምቹ,5,2025-03-22,Dashen Bank,Google Play
thanks for all digital transaction,5,2025-03-21,Dashen Bank,Google Play
Good,4,2025-03-21,Dashen Bank,Google Play
Best,5,2025-03-20,Dashen Bank,Google Play
Good,5,2025-03-20,Dashen Bank,Google Play
"This app is not supporting smart phones that have old android version and so it is none inclusive. At the same time the amole lite is not working properly and once you reached to maximum otp trail mistakes due to network or other errors like stacks , you will be tied up to make Transactions. Ohh... tired!!!!!",1,2025-03-20,Dashen Bank,Google Play
it's Be Come Busy &not working good,1,2025-03-20,Dashen Bank,Google Play
I wanted to share some concerns about your Supper App. It appears to be experiencing reliability issues and isn’t performing as expected. I hope this can be addressed soon to improve the user experience. One star 🌟 for now.,1,2025-03-19,Dashen Bank,Google Play
"best ever digital banking sector essay for understanding ,smart and convince for using",5,2025-03-19,Dashen Bank,Google Play
good and latest,5,2025-03-18,Dashen Bank,Google Play
The best App of all,5,2025-03-17,Dashen Bank,Google Play
Worst app ever,1,2025-03-15,Dashen Bank,Google Play
"This app is the most unreliable mobile banking application I have ever used for transaction, it is very late, non-responsive and full of bugs. Its is very disappointing. It is just inconvinient, and not user friendly and compatabke at all !!!!!!",1,2025-03-14,Dashen Bank,Google Play
Naiycapp,5,2025-03-14,Dashen Bank,Google Play
Good,5,2025-03-13,Dashen Bank,Google Play
The app is good but it has no USSD option,4,2025-03-13,Dashen Bank,Google Play
Hey great,5,2025-03-12,Dashen Bank,Google Play
I have used many mobile banking and also tellebir and mpesa nothing come close to this app. Well done Dashen indeed one step a head. A lot of cool features that amole hasn't the receipt and the account statement is superb for me. I hope you add more integrated small apps to.,5,2025-03-12,Dashen Bank,Google Play
The app is good but it ask update every week so tiring,2,2025-03-11,Dashen Bank,Google Play
It good and easy to use,5,2025-03-11,Dashen Bank,Google Play
በጣም አሪፍ መተግበሪያ ነው ። አመሠግናለሁ ።,5,2025-03-10,Dashen Bank,Google Play
"Greately improved since it was released! I really like the budget and expense tegistration feature. For ATM or POS withdrawals, it is not possible to account these expenses, even if it is visible on the transactions window. If that can be worked on, it will be improve so much!!",5,2025-03-10,Dashen Bank,Google Play
Excellent,5,2025-03-10,Dashen Bank,Google Play
Good,5,2025-03-08,Dashen Bank,Google Play
Wow Excellent app,5,2025-03-08,Dashen Bank,Google Play
Nice app but i experience some issues with others banks transfer it keeps saying account is not exist most of the time.,4,2025-03-08,Dashen Bank,Google Play
Add the option to send money to any telebirr account like amole does.,3,2025-03-08,Dashen Bank,Google Play
It's best,5,2025-03-08,Dashen Bank,Google Play
no one dashen yichlal,5,2025-03-07,Dashen Bank,Google Play
In short ! I'm so proud of this app developers for their highest professional of developing. Thanks,5,2025-03-06,Dashen Bank,Google Play
The speed is too slow. Need some improvements.,2,2025-03-06,Dashen Bank,Google Play
good app,5,2025-03-04,Dashen Bank,Google Play
Fantastic app,5,2025-03-01,Dashen Bank,Google Play
Good,5,2025-02-28,Dashen Bank,Google Play
I wish dark mode feature is add as an option but it's good app,5,2025-02-27,Dashen Bank,Google Play
"Super Up is the ultimate digital banking app, living up to its name with speed, efficiency, and innovation. Designed for a seamless experience, it offers lightning-fast transactions, top-tier security, and effortless financial management. With Super Up, banking has never been this smooth, smart, and super!",5,2025-02-26,Dashen Bank,Google Play
"The Dashen Super App is a game-changer in digital banking, offering a seamless and convenient experience. With its user-friendly interface, fast transactions, and a wide range of financial services, it simplifies banking for customers. Features like bill payments, fund transfers, mobile top-ups, and loan applications make it an all-in-one solution. Plus, its security measures ensure safe and reliable Experiance effortless banking",5,2025-02-26,Dashen Bank,Google Play
ከጰነጨየጠ,2,2025-02-26,Dashen Bank,Google Play
"It has good feature. But, it is Very Slow! difficult to pay or receive. The Speed should be improved, else I didn't recommend.",2,2025-02-24,Dashen Bank,Google Play
Excellent app,5,2025-02-24,Dashen Bank,Google Play
አፕልኬሽኑ አሪፍ ሆኖ ሳለ ቴሌብር ወደራስ ብቻ ለምን ሆነ እንደ ድሮው ለሰውም መላክ ቢቻል,4,2025-02-22,Dashen Bank,Google Play
No good,1,2025-02-22,Dashen Bank,Google Play
Wow amazing app,5,2025-02-21,Dashen Bank,Google Play
best platform... Please avoid otp,5,2025-02-21,Dashen Bank,Google Play
Super smart app.,5,2025-02-18,Dashen Bank,Google Play
best 👍👍,5,2025-02-16,Dashen Bank,Google Play
I don't know what happens but the application is not send verification pass code you should fix that,1,2025-02-16,Dashen Bank,Google Play
This app doesn't work on my phone my phone is Samsung Galaxy s7 android version 9 All other financial apps work like telebirr CBE M_pesa...,1,2025-02-14,Dashen Bank,Google Play
"Dashen Super app is secure, very easy to use and has more services uniquely like budgeting, chat, IPS...",5,2025-02-14,Dashen Bank,Google Play
Amazing and user friendly supper app and looking forward the additional features,5,2025-02-14,Dashen Bank,Google Play
it's amazing app i have seen ever,5,2025-02-13,Dashen Bank,Google Play
One star deducted for not to able to transfer to telebirr.,4,2025-02-13,Dashen Bank,Google Play
ጥሩ ነው ግን በደንብ ሊሸሻል ይገባል,4,2025-02-13,Dashen Bank,Google Play
ፍጥነቱ በጣም አሪፍ ነው! እና ቀለል ያለ ነው ! ነገር ግን ተጨማሪ ወደ ቴሌብር ኤጀንት መላኪያ አፕ ቢካተትበት ጥሩ ነው::,4,2025-02-12,Dashen Bank,Google Play
Keep up the good work and pleas add water and electric utility payment,5,2025-02-12,Dashen Bank,Google Play
The app missed some important features 1. It does't show recent transactions 2. Transfer to Telebirr limited to own telebirr 3. The statement does't show running balance,2,2025-02-11,Dashen Bank,Google Play
"Simple, Fast and Easy ⭐⭐⭐🎉",4,2025-02-10,Dashen Bank,Google Play
"የሚገርም aplication ነው, ነገር ግን ብር ትራንስፈር ሲደረግ ያለ ፒን መሆኑ risk አለው ሁሉ ጊዜ የ ትራንስፈር መደምደሚያ ፒን መሆን አለበት!!!!!!!!!!!!:: አሱ ቢስተካከል 5 star አስከዛው ግን 4 ሰጥቻለው::",4,2025-02-09,Dashen Bank,Google Play
Baankii daashin baankii hudna galeessa galatoomaa isinii woliin jirra Godina jimmaa magaalaa Aggaaroo irraa Muaz Abamecha Abamilki,5,2025-02-07,Dashen Bank,Google Play
Good,5,2025-02-07,Dashen Bank,Google Play
It doesn't work,1,2025-02-07,Dashen Bank,Google Play
"#Dashen Super App; Super easy to use, secure, and fast transaction. Love it!",5,2025-02-07,Dashen Bank,Google Play
"I tried the new Dash Bank Super App today, and it's amazingly easy and fun.I recommend you download and use it. You really like it",5,2025-02-06,Dashen Bank,Google Play
Gud app kegza ga mezmn endze new aind ermjh kedme nachu hlam,5,2025-02-06,Dashen Bank,Google Play
"Good app, bad security",3,2025-02-06,Dashen Bank,Google Play
On Transaction page only show sent Transaction. Try to include received transaction.,4,2025-02-06,Dashen Bank,Google Play
Wonderful Application 😍,5,2025-02-05,Dashen Bank,Google Play
I loved it,5,2025-02-05,Dashen Bank,Google Play
አሁን ገና አንድ እርምጃ ቀደማችው,5,2025-02-04,Dashen Bank,Google Play
I am so thankful for having this best app Dashen one step ahead,5,2025-02-04,Dashen Bank,Google Play
Not good this app,1,2025-02-04,Dashen Bank,Google Play
Best app,5,2025-02-04,Dashen Bank,Google Play
Excellent app ever but it needs improvement on speed and transaction lists,1,2025-02-03,Dashen Bank,Google Play
Perfect,5,2025-02-02,Dashen Bank,Google Play
"It does not work functional ,",1,2025-02-02,Dashen Bank,Google Play
Ok,5,2025-02-02,Dashen Bank,Google Play
all of dashen bank customers use the application it is good to use,5,2025-02-01,Dashen Bank,Google Play
Gret experience,5,2025-02-01,Dashen Bank,Google Play
All good we need more,3,2025-01-31,Dashen Bank,Google Play
"Dashen super app is easy to use, fast and robust",5,2025-01-31,Dashen Bank,Google Play
it was amazing app.....thank you dashen bank....,5,2025-01-30,Dashen Bank,Google Play
Dashen bank super app for easy life.,5,2025-01-30,Dashen Bank,Google Play
Excellent UI/UX and beyond Banking services👍👍,5,2025-01-30,Dashen Bank,Google Play
Send to oher bank የሚለዉ ዉስጥ ገብተን ወደ addisinternational bank ለመላክ አይሰራም ሁለተኛ ደግሞ ወደ cbe birr ለመላክ account number ይጠይቃል ሞባይል ነበር ነዉ መጠየቅ ያለበት ይመስለኛል,2,2025-01-29,Dashen Bank,Google Play
Best,5,2025-01-29,Dashen Bank,Google Play
Just Wow,5,2025-01-29,Dashen Bank,Google Play
mobile banking to the next level,5,2025-01-28,Dashen Bank,Google Play
Nice,5,2025-01-25,Dashen Bank,Google Play
The first 3 star review is me,3,2025-01-25,Dashen Bank,Google Play
Is not working,1,2025-01-25,Dashen Bank,Google Play
"Fast, reliable and user friendly. Amazing chatting features. Keep it up! Always one step ahead!",5,2025-01-24,Dashen Bank,Google Play
V good ❗️,5,2025-01-24,Dashen Bank,Google Play
"This app is literally the best thing ever The chat banking is so easy just text and it’s done Super smooth, fast, and honestly a life saverIf you haven’t downloaded it yet you’re missing out big time",5,2025-01-23,Dashen Bank,Google Play
I only see white page,2,2025-01-23,Dashen Bank,Google Play
Excellent banking app for all your needs! Who needs a physical branch when you can use Dashen Bank Super App Instead! I've never had an issue with anything that Dashen Bank Super App haven't handled swiftly and resolved to my satisfaction and above I don't often write reviews but this is an app/bank that I would highly recommended to everyone 💯 👌👍,5,2025-01-22,Dashen Bank,Google Play
Amizing Application 😍,5,2025-01-22,Dashen Bank,Google Play
Fastest and easy to use,5,2025-01-22,Dashen Bank,Google Play
Ok,5,2025-01-21,Dashen Bank,Google Play
ጥሩ ነው,5,2025-01-21,Dashen Bank,Google Play
ስም ብቻ 😏,2,2025-01-21,Dashen Bank,Google Play
Exellent app with exellent banking system and exellent bank ever,5,2025-01-21,Dashen Bank,Google Play
Amazing app to use as usual! But why option of transferring to Telebirr and M pesa which was available on Amole app is omitted?? Dasheen is my favourite keep it up.,4,2025-01-20,Dashen Bank,Google Play
Needs some improvement,5,2025-01-20,Dashen Bank,Google Play
Amazing,5,2025-01-20,Dashen Bank,Google Play
Amazing super app,5,2025-01-19,Dashen Bank,Google Play
I hope it will be better than amole,5,2025-01-18,Dashen Bank,Google Play
Wly Super App ilove it ❤️ 😍 💖 💕,5,2025-01-18,Dashen Bank,Google Play
Wow,5,2025-01-17,Dashen Bank,Google Play
Dashen yichalal. Ewnetem one step a head,5,2025-01-17,Dashen Bank,Google Play
It has a Good performance but need more upgrade for more performance like when we login account not be fast balance show other thing looking good. Carry on. Thanks so much for Greatest service,4,2025-01-17,Dashen Bank,Google Play
"It is a very wonderful work that has saved its time. That is why it is ""Always one step ahead!""",5,2025-01-17,Dashen Bank,Google Play
“Life-changing!” I can’t imagine going back to traditional banking after using this app. It’s so convenient.,5,2025-01-17,Dashen Bank,Google Play
Pro max,5,2025-01-17,Dashen Bank,Google Play
